date,setting,classifier,shot_1,shot_2,shot_3,shot_4,shot_5,shot_6,shot_7,shot_8,shot_9,shot_10
2024-02-26_17-50,S: filtered/ Q: filtered,matching_1nn,0.8426666666666668,0.9025333333333332,0.9186666666666666,0.9273333333333332,0.9361333333333332,0.9405333333333332,0.9449333333333332,0.95,0.9545333333333332,0.9562666666666664
2024-02-26_17-50,S: filtered/ Q: filtered,matching_knn,0.8426666666666668,0.9022666666666666,0.9188,0.9287999999999998,0.9344,0.9418666666666666,0.9461333333333332,0.9489333333333332,0.9486666666666668,0.9509333333333332
2024-02-26_17-50,S: filtered/ Q: filtered,ncm_max,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
2024-02-26_17-50,S: filtered/ Q: filtered,ncm_sum,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
,,,,,,,,,,,,
2024-02-26_17-55,S: filtered/ Q: unfiltered,matching_1nn,0.8426666666666668,0.9025333333333332,0.9186666666666666,0.9273333333333332,0.9361333333333332,0.9405333333333332,0.9449333333333332,0.95,0.9545333333333332,0.9562666666666664
2024-02-26_17-55,S: filtered/ Q: unfiltered,matching_knn,0.8426666666666668,0.9022666666666666,0.9188,0.9287999999999998,0.9344,0.9418666666666666,0.9461333333333332,0.9489333333333332,0.9486666666666668,0.9509333333333332
2024-02-26_17-55,S: filtered/ Q: unfiltered,ncm_max,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
2024-02-26_17-55,S: filtered/ Q: unfiltered,ncm_sum,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
,,,,,,,,,,,,
2024-02-26_18-00,S: unfiltered/ Q: whole,matching_1nn,0.8332,0.8899999999999999,0.9088,0.9177333333333332,0.9269333333333332,0.9313333333333332,0.9357333333333332,0.9417333333333332,0.9445333333333332,0.9469333333333332
2024-02-26_18-00,S: unfiltered/ Q: whole,matching_knn,0.8332,0.8902666666666668,0.8998666666666666,0.9144,0.9181333333333334,0.9282666666666666,0.9325333333333332,0.9339999999999996,0.9371999999999998,0.940133333333333
2024-02-26_18-00,S: unfiltered/ Q: whole,ncm_max,0.8333333333333335,0.902,0.924,0.9337333333333332,0.9438666666666664,0.9481333333333332,0.9519999999999998,0.9529333333333332,0.9549333333333332,0.9565333333333332
2024-02-26_18-00,S: unfiltered/ Q: whole,ncm_sum,0.8333333333333335,0.902,0.924,0.9337333333333332,0.9438666666666664,0.9481333333333332,0.9519999999999998,0.9529333333333332,0.9549333333333332,0.9565333333333332
,,,,,,,,,,,,
2024-02-26_18-05,S: unfiltered/ Q: filtered,matching_1nn,0.8426666666666668,0.9025333333333332,0.9186666666666666,0.9273333333333332,0.9361333333333332,0.9405333333333332,0.9449333333333332,0.95,0.9545333333333332,0.9562666666666664
2024-02-26_18-05,S: unfiltered/ Q: filtered,matching_knn,0.8426666666666668,0.9022666666666666,0.9188,0.9287999999999998,0.9344,0.9418666666666666,0.9461333333333332,0.9489333333333332,0.9486666666666668,0.9509333333333332
2024-02-26_18-05,S: unfiltered/ Q: filtered,ncm_max,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
2024-02-26_18-05,S: unfiltered/ Q: filtered,ncm_sum,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
,,,,,,,,,,,,
2024-02-26_18-11,S: unfiltered/ Q: unfiltered,matching_1nn,0.8426666666666668,0.9025333333333332,0.9186666666666666,0.9273333333333332,0.9361333333333332,0.9405333333333332,0.9449333333333332,0.95,0.9545333333333332,0.9562666666666664
2024-02-26_18-11,S: unfiltered/ Q: unfiltered,matching_knn,0.8426666666666668,0.9022666666666666,0.9188,0.9287999999999998,0.9344,0.9418666666666666,0.9461333333333332,0.9489333333333332,0.9486666666666668,0.9509333333333332
2024-02-26_18-11,S: unfiltered/ Q: unfiltered,ncm_max,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
2024-02-26_18-11,S: unfiltered/ Q: unfiltered,ncm_sum,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
,,,,,,,,,,,,
2024-02-27_23-40,S: filtered/ Q: hierarchical,matching_1nn,0.8421333333333333,0.9024,0.9194666666666664,0.9277333333333331,0.9364,0.9401333333333334,0.9444,0.9493333333333333,0.9530666666666664,0.9553333333333331
2024-02-27_23-40,S: filtered/ Q: hierarchical,matching_knn,0.8421333333333333,0.9021333333333332,0.9186666666666664,0.9273333333333332,0.9357333333333332,0.9409333333333332,0.9455999999999999,0.9490666666666665,0.9516,0.9537333333333332
2024-02-27_23-40,S: filtered/ Q: hierarchical,ncm_max,0.8382666666666668,0.9062666666666666,0.9290666666666665,0.9389333333333332,0.9490666666666665,0.9518666666666665,0.9567999999999999,0.9574666666666666,0.9593333333333333,0.9601333333333332
2024-02-27_23-40,S: filtered/ Q: hierarchical,ncm_sum,0.8348,0.9049333333333333,0.9256,0.9349333333333333,0.9447999999999999,0.9495999999999999,0.9549333333333333,0.9546666666666666,0.9553333333333331,0.9577333333333331
